order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1492625,2,train,15,1,11,30
2196797,5,train,5,0,11,6
525192,7,train,21,2,11,6
880375,8,train,4,1,14,10
1094988,9,train,4,6,10,30
1822501,10,train,6,0,19,30
1827621,13,train,13,0,21,8
2316178,14,train,14,2,19,11
2180313,17,train,41,3,10,30
2461523,18,train,7,6,9,7
1854765,21,train,34,1,12,28
3402036,23,train,5,1,12,30
965160,24,train,19,0,16,0
2614670,27,train,82,5,14,4
3110252,29,train,19,4,11,13
62370,30,train,9,2,13,22
698604,34,train,6,4,13,30
1524161,37,train,24,0,13,16
3173750,38,train,13,0,9,30
2032076,41,train,6,0,20,30
2803975,42,train,17,0,11,14
1864787,43,train,12,5,11,26
2436259,44,train,4,0,12,30
1947848,46,train,20,4,20,11
2906490,47,train,6,4,22,16
2924697,48,train,11,5,18,14
519514,49,train,9,4,12,2
1750084,50,train,68,3,9,7
1647290,52,train,28,4,16,3
3088145,53,train,4,2,10,13
39325,55,train,8,2,18,30
13318,56,train,13,1,9,6
1651215,59,train,11,0,12,10
1019719,62,train,11,2,12,29
2989905,63,train,40,6,8,13
2639013,64,train,11,0,13,27
1072954,65,train,15,6,17,30
34647,66,train,7,3,19,23
2757217,67,train,25,0,11,5
669729,70,train,14,5,12,30
3038639,71,train,24,5,13,17
2608424,72,train,13,2,14,30
482516,74,train,6,4,7,10
3294399,76,train,10,4,8,14
1700658,78,train,7,6,11,7
21708,79,train,8,0,6,30
2178718,80,train,13,2,8,8
1734166,81,train,8,5,18,8
859654,82,train,20,1,10,13
2424438,83,train,7,2,16,30
2276967,84,train,9,0,13,14
613340,86,train,18,6,12,6
1855447,87,train,28,3,17,8
3081445,88,train,8,3,18,23
2222431,89,train,21,6,18,6
1318796,90,train,72,5,9,2
637547,91,train,16,1,10,11
1179185,93,train,15,1,10,5
1227088,95,train,9,5,12,21
531345,96,train,17,1,11,30
3178964,97,train,6,6,19,6
1289863,99,train,19,2,11,22
2591641,102,train,7,0,20,30
926418,103,train,18,2,14,20
2364180,104,train,6,4,10,10
2298088,105,train,8,3,10,30
2549875,106,train,4,6,13,8
515014,108,train,8,6,15,6
1997693,109,train,7,1,11,21
72069,110,train,21,1,10,6
3105153,111,train,8,4,11,4
3032922,112,train,27,2,18,6
1645824,113,train,6,5,17,30
2759030,114,train,5,0,10,2
2618023,115,train,13,1,18,15
878518,116,train,7,5,12,4
1438423,117,train,12,0,18,4
1248129,118,train,28,1,7,30
461193,119,train,4,0,14,30
961032,120,train,4,2,9,30
2652217,121,train,11,3,6,21
1721370,123,train,11,0,11,0
2733614,124,train,9,1,8,21
1543042,125,train,14,1,19,11
1095948,128,train,12,4,16,4
2437480,130,train,4,3,12,12
2106151,131,train,10,0,9,18
2887138,132,train,25,0,12,5
3001617,135,train,5,0,17,17
455775,138,train,33,6,12,1
2233425,139,train,5,2,11,30
2560500,140,train,77,4,21,2
2696946,142,train,46,6,17,2
1993128,143,train,15,6,11,8
242208,144,train,8,2,12,12
3395341,145,train,9,2,17,30
673776,146,train,41,2,19,25
318441,147,train,14,0,11,30
3348216,148,train,8,5,23,27
1575396,150,train,32,6,14,20
1897207,155,train,23,1,0,9
3294802,157,train,5,0,14,4
2133144,160,train,13,0,17,13
3123006,161,train,21,0,15,20
2564128,163,train,12,1,23,11
2608262,164,train,11,4,9,19
2742787,167,train,6,0,11,7
767489,169,train,7,2,12,30
1500681,171,train,7,0,15,8
2060922,173,train,45,2,9,15
537105,174,train,28,6,11,9
1505214,175,train,24,3,9,7
2433199,176,train,7,6,16,19
3412247,178,train,6,2,9,7
1464402,179,train,6,1,20,15
1007973,183,train,5,6,14,19
3362166,184,train,12,6,12,30
2887658,185,train,7,2,11,30
475324,187,train,33,5,15,3
2715293,189,train,12,4,18,2
1308123,191,train,5,1,15,5
3155162,192,train,6,1,12,30
1962299,193,train,6,4,10,14
1458129,195,train,59,4,11,6
739987,197,train,21,6,16,2
3048264,198,train,6,2,13,8
2066158,199,train,4,6,10,30
2780124,201,train,8,6,12,23
2897229,203,train,4,0,15,30
1447810,204,train,59,6,13,17
2177938,205,train,13,2,18,30
307237,206,train,29,4,10,13
1706500,208,train,19,6,18,18
1826981,209,train,20,1,13,27
3176785,210,train,100,1,12,5
2708761,211,train,5,0,13,8
3084045,212,train,13,0,0,2
2477435,213,train,6,1,15,30
3053806,214,train,28,6,21,30
75622,215,train,6,4,8,29
1131395,217,train,12,6,12,30
1841249,218,train,7,3,13,7
1902701,219,train,34,6,15,14
1848434,220,train,17,3,4,30
1789152,222,train,71,5,10,3
180627,223,train,50,1,8,7
2041929,224,train,4,2,10,13
2615515,226,train,22,4,21,30
568023,229,train,18,5,22,4
382581,230,train,11,5,7,30
2499603,231,train,4,6,2,16
1179928,235,train,22,5,13,5
1016866,238,train,7,4,16,14
2941534,239,train,6,0,2,6
688931,240,train,6,3,9,20
2193979,242,train,17,6,14,7
2698993,243,train,28,0,10,20
2624849,245,train,6,1,22,20
142062,249,train,10,4,22,3
524863,250,train,12,6,14,20
2298194,252,train,5,6,11,30
